,P(AAB|prime),P(ABA|prime),P(ABB|prime),P(ABC|prime),A,B,C,P(A|A),P(B|A),"P(B|A,A)","P(A|A,B)","P(B|A,B)","P(C|A,B)","P(A|prime,A)","P(B|prime,A)","P(B|prime,A,A)","P(A|prime,A,B)","P(B|prime,A,B)","P(C|prime,A,B)"
357,0.08621089,23.25435,1138.4287,,4893,3422,,0.027655378,2.2580834e-06,5.4211245e-07,3.3249753e-06,1.121209e-06,,0.0021414957,1.16757865e-05,6.035509e-07,1.4953626e-05,0.00024685747,
358,0.0026731768,3.4601607,0.4008505,,4893,3686,,1.7890463e-05,1.02929325e-05,0.007402304,1.2517582e-06,4.2218486e-05,,5.0424158e-05,1.920855e-06,7.020653e-06,2.3209259e-05,9.068378e-05,
359,11.613884,2580570.0,129872220.0,,11709,16247,,0.027655378,6.0653295e-11,1.2502969e-06,3.0774215e-06,3.1635807e-07,,0.0021414957,0.00024278086,0.00018752235,1.984004e-06,1.0264436e-05,
360,454.02905,363.86774,1.5980705,,4893,1558,,7.754631e-06,7.674629e-07,3.4765503e-06,2.467137e-06,2.6085265e-05,,0.0001791376,1.9544574e-05,6.832923e-05,3.525072e-05,1.6369008e-06,
361,146.2402,12.142223,549.0003,,14232,6114,,4.3795167e-06,1.7260014e-05,7.479246e-07,9.668362e-06,3.5549408e-07,,1.4343117e-05,1.548769e-05,3.3396984e-05,0.00013082947,0.00021750008,
362,2562.1428,2239.4038,0.00010993766,,14232,279,,7.754631e-06,4.2059535e-05,5.53252e-07,8.636433e-06,0.00042177277,,0.0001791376,7.921938e-05,6.1362174e-05,0.010268331,2.4618299e-08,
363,0.7506308,3.8339581,22.580828,,4893,4657,,0.00044108194,1.3928649e-05,8.0788976e-07,1.9206161e-06,9.5482626e-08,,0.0006598675,4.778891e-06,4.0536014e-07,2.1461983e-05,6.284144e-06,
364,58.858135,21.343473,1.7501669,,4893,4850,,4.3795167e-06,1.062505e-06,1.5930736e-07,2.526528e-06,2.5826263e-05,,1.4343117e-05,1.04105e-05,2.8630238e-06,5.503622e-06,4.61318e-06,
365,596.718,161.57385,3.2660336,,14232,8652,,4.3795167e-06,5.415854e-07,1.05176106e-07,4.04282e-05,0.00013141577,,1.4343117e-05,3.7843404e-06,1.9163237e-05,0.0009348291,6.142496e-05,
366,0.023757845,2006.4525,0.6000777,,167,11608,,7.584291e-05,7.953271e-07,0.042626448,0.00023416475,0.00670022,,2.8184359e-05,3.218109e-05,0.002725166,0.01161169,9.936686e-05,
367,7.84193e-06,40274.613,0.7154895,,14826,4659,,0.0552642,4.4843427e-09,4.7249955e-06,5.8690064e-05,0.0888929,,1.5834543e-05,6.5007844e-06,1.2931912e-07,0.0016305307,4.387361e-05,
368,307.34894,0.0047901627,0.0065019755,,2732,225,,6.519211e-07,0.0029628454,7.849754e-07,0.0034409552,8.401103e-05,,3.3387557e-06,0.00025437967,4.7108377e-05,0.00019197994,6.362213e-06,
369,12.907527,0.556166,662.79913,,4893,1029,,7.584291e-05,1.8462028e-06,4.2643437e-06,0.00010359181,5.7503115e-08,,2.8184359e-05,5.2544947e-06,0.00014811603,2.024316e-05,1.339127e-05,
370,1.5153251e-10,1.7568545e-05,5.4104232e-05,,6114,963,,0.0064403657,0.0006242679,0.0010214061,0.0057896753,7.0065053e-06,,7.306215e-08,9.013113e-07,1.3643393e-08,7.045085e-05,2.625602e-07,
371,0.0019822204,3094453.0,413959.1,,19863,4470,,1.2741742e-06,9.183791e-09,4.9119376e-06,1.1897954e-05,1.7251035e-05,,4.1446125e-07,0.095717326,2.9932963e-08,3.5325443e-06,6.85179e-07,
372,115684.36,2.189751,0.024072202,,4893,4468,,1.133778e-06,6.384668e-06,7.157022e-05,1.7508709e-06,3.663668e-05,,0.005396945,1.0396049e-06,0.0017393503,2.3546092e-05,5.41629e-06,
373,0.08621089,23.25435,1138.4287,,4893,3422,,0.027655378,2.2580834e-06,5.4211245e-07,3.3249753e-06,1.121209e-06,,0.0021414957,1.16757865e-05,6.035509e-07,1.4953626e-05,0.00024685747,
374,0.0026731768,3.4601607,0.4008505,,4893,3686,,1.7890463e-05,1.02929325e-05,0.007402304,1.2517582e-06,4.2218486e-05,,5.0424158e-05,1.920855e-06,7.020653e-06,2.3209259e-05,9.068378e-05,
375,11.613884,2580570.0,129872220.0,,11709,16247,,0.027655378,6.0653295e-11,1.2502969e-06,3.0774215e-06,3.1635807e-07,,0.0021414957,0.00024278086,0.00018752235,1.984004e-06,1.0264436e-05,
376,454.02905,363.86774,1.5980705,,4893,1558,,7.754631e-06,7.674629e-07,3.4765503e-06,2.467137e-06,2.6085265e-05,,0.0001791376,1.9544574e-05,6.832923e-05,3.525072e-05,1.6369008e-06,
377,146.2402,12.142223,549.0003,,14232,6114,,4.3795167e-06,1.7260014e-05,7.479246e-07,9.668362e-06,3.5549408e-07,,1.4343117e-05,1.548769e-05,3.3396984e-05,0.00013082947,0.00021750008,
378,2562.1428,2239.4038,0.00010993766,,14232,279,,7.754631e-06,4.2059535e-05,5.53252e-07,8.636433e-06,0.00042177277,,0.0001791376,7.921938e-05,6.1362174e-05,0.010268331,2.4618299e-08,
379,0.7506308,3.8339581,22.580828,,4893,4657,,0.00044108194,1.3928649e-05,8.0788976e-07,1.9206161e-06,9.5482626e-08,,0.0006598675,4.778891e-06,4.0536014e-07,2.1461983e-05,6.284144e-06,
380,58.858135,21.343473,1.7501669,,4893,4850,,4.3795167e-06,1.062505e-06,1.5930736e-07,2.526528e-06,2.5826263e-05,,1.4343117e-05,1.04105e-05,2.8630238e-06,5.503622e-06,4.61318e-06,
381,596.718,161.57385,3.2660336,,14232,8652,,4.3795167e-06,5.415854e-07,1.05176106e-07,4.04282e-05,0.00013141577,,1.4343117e-05,3.7843404e-06,1.9163237e-05,0.0009348291,6.142496e-05,
382,0.023757845,2006.4525,0.6000777,,167,11608,,7.584291e-05,7.953271e-07,0.042626448,0.00023416475,0.00670022,,2.8184359e-05,3.218109e-05,0.002725166,0.01161169,9.936686e-05,
383,7.84193e-06,40274.613,0.7154895,,14826,4659,,0.0552642,4.4843427e-09,4.7249955e-06,5.8690064e-05,0.0888929,,1.5834543e-05,6.5007844e-06,1.2931912e-07,0.0016305307,4.387361e-05,
384,307.34894,0.0047901627,0.0065019755,,2732,225,,6.519211e-07,0.0029628454,7.849754e-07,0.0034409552,8.401103e-05,,3.3387557e-06,0.00025437967,4.7108377e-05,0.00019197994,6.362213e-06,
385,12.907527,0.556166,662.79913,,4893,1029,,7.584291e-05,1.8462028e-06,4.2643437e-06,0.00010359181,5.7503115e-08,,2.8184359e-05,5.2544947e-06,0.00014811603,2.024316e-05,1.339127e-05,
386,1.5153251e-10,1.7568545e-05,5.4104232e-05,,6114,963,,0.0064403657,0.0006242679,0.0010214061,0.0057896753,7.0065053e-06,,7.306215e-08,9.013113e-07,1.3643393e-08,7.045085e-05,2.625602e-07,
387,0.0019822204,3094453.0,413959.1,,19863,4470,,1.2741742e-06,9.183791e-09,4.9119376e-06,1.1897954e-05,1.7251035e-05,,4.1446125e-07,0.095717326,2.9932963e-08,3.5325443e-06,6.85179e-07,
388,115684.36,2.189751,0.024072202,,4893,4468,,1.133778e-06,6.384668e-06,7.157022e-05,1.7508709e-06,3.663668e-05,,0.005396945,1.0396049e-06,0.0017393503,2.3546092e-05,5.41629e-06,
389,0.08621089,23.25435,1138.4287,,4893,3422,,0.027655378,2.2580834e-06,5.4211245e-07,3.3249753e-06,1.121209e-06,,0.0021414957,1.16757865e-05,6.035509e-07,1.4953626e-05,0.00024685747,
390,0.0026731768,3.4601607,0.4008505,,4893,3686,,1.7890463e-05,1.02929325e-05,0.007402304,1.2517582e-06,4.2218486e-05,,5.0424158e-05,1.920855e-06,7.020653e-06,2.3209259e-05,9.068378e-05,
391,11.613884,2580570.0,129872220.0,,11709,16247,,0.027655378,6.0653295e-11,1.2502969e-06,3.0774215e-06,3.1635807e-07,,0.0021414957,0.00024278086,0.00018752235,1.984004e-06,1.0264436e-05,
392,454.02905,363.86774,1.5980705,,4893,1558,,7.754631e-06,7.674629e-07,3.4765503e-06,2.467137e-06,2.6085265e-05,,0.0001791376,1.9544574e-05,6.832923e-05,3.525072e-05,1.6369008e-06,
393,146.2402,12.142223,549.0003,,14232,6114,,4.3795167e-06,1.7260014e-05,7.479246e-07,9.668362e-06,3.5549408e-07,,1.4343117e-05,1.548769e-05,3.3396984e-05,0.00013082947,0.00021750008,
394,2562.1428,2239.4038,0.00010993766,,14232,279,,7.754631e-06,4.2059535e-05,5.53252e-07,8.636433e-06,0.00042177277,,0.0001791376,7.921938e-05,6.1362174e-05,0.010268331,2.4618299e-08,
395,0.7506308,3.8339581,22.580828,,4893,4657,,0.00044108194,1.3928649e-05,8.0788976e-07,1.9206161e-06,9.5482626e-08,,0.0006598675,4.778891e-06,4.0536014e-07,2.1461983e-05,6.284144e-06,
396,58.858135,21.343473,1.7501669,,4893,4850,,4.3795167e-06,1.062505e-06,1.5930736e-07,2.526528e-06,2.5826263e-05,,1.4343117e-05,1.04105e-05,2.8630238e-06,5.503622e-06,4.61318e-06,
397,596.718,161.57385,3.2660336,,14232,8652,,4.3795167e-06,5.415854e-07,1.05176106e-07,4.04282e-05,0.00013141577,,1.4343117e-05,3.7843404e-06,1.9163237e-05,0.0009348291,6.142496e-05,
398,0.023757845,2006.4525,0.6000777,,167,11608,,7.584291e-05,7.953271e-07,0.042626448,0.00023416475,0.00670022,,2.8184359e-05,3.218109e-05,0.002725166,0.01161169,9.936686e-05,
399,7.84193e-06,40274.613,0.7154895,,14826,4659,,0.0552642,4.4843427e-09,4.7249955e-06,5.8690064e-05,0.0888929,,1.5834543e-05,6.5007844e-06,1.2931912e-07,0.0016305307,4.387361e-05,
400,307.34894,0.0047901627,0.0065019755,,2732,225,,6.519211e-07,0.0029628454,7.849754e-07,0.0034409552,8.401103e-05,,3.3387557e-06,0.00025437967,4.7108377e-05,0.00019197994,6.362213e-06,
401,12.907527,0.556166,662.79913,,4893,1029,,7.584291e-05,1.8462028e-06,4.2643437e-06,0.00010359181,5.7503115e-08,,2.8184359e-05,5.2544947e-06,0.00014811603,2.024316e-05,1.339127e-05,
402,1.5153251e-10,1.7568545e-05,5.4104232e-05,,6114,963,,0.0064403657,0.0006242679,0.0010214061,0.0057896753,7.0065053e-06,,7.306215e-08,9.013113e-07,1.3643393e-08,7.045085e-05,2.625602e-07,
403,0.0019822204,3094453.0,413959.1,,19863,4470,,1.2741742e-06,9.183791e-09,4.9119376e-06,1.1897954e-05,1.7251035e-05,,4.1446125e-07,0.095717326,2.9932963e-08,3.5325443e-06,6.85179e-07,
404,115684.36,2.189751,0.024072202,,4893,4468,,1.133778e-06,6.384668e-06,7.157022e-05,1.7508709e-06,3.663668e-05,,0.005396945,1.0396049e-06,0.0017393503,2.3546092e-05,5.41629e-06,
405,0.08621089,23.25435,1138.4287,,4893,3422,,0.027655378,2.2580834e-06,5.4211245e-07,3.3249753e-06,1.121209e-06,,0.0021414957,1.16757865e-05,6.035509e-07,1.4953626e-05,0.00024685747,
406,0.0026731768,3.4601607,0.4008505,,4893,3686,,1.7890463e-05,1.02929325e-05,0.007402304,1.2517582e-06,4.2218486e-05,,5.0424158e-05,1.920855e-06,7.020653e-06,2.3209259e-05,9.068378e-05,
407,11.613884,2580570.0,129872220.0,,11709,16247,,0.027655378,6.0653295e-11,1.2502969e-06,3.0774215e-06,3.1635807e-07,,0.0021414957,0.00024278086,0.00018752235,1.984004e-06,1.0264436e-05,
408,454.02905,363.86774,1.5980705,,4893,1558,,7.754631e-06,7.674629e-07,3.4765503e-06,2.467137e-06,2.6085265e-05,,0.0001791376,1.9544574e-05,6.832923e-05,3.525072e-05,1.6369008e-06,
409,146.2402,12.142223,549.0003,,14232,6114,,4.3795167e-06,1.7260014e-05,7.479246e-07,9.668362e-06,3.5549408e-07,,1.4343117e-05,1.548769e-05,3.3396984e-05,0.00013082947,0.00021750008,
410,2562.1428,2239.4038,0.00010993766,,14232,279,,7.754631e-06,4.2059535e-05,5.53252e-07,8.636433e-06,0.00042177277,,0.0001791376,7.921938e-05,6.1362174e-05,0.010268331,2.4618299e-08,
411,0.7506308,3.8339581,22.580828,,4893,4657,,0.00044108194,1.3928649e-05,8.0788976e-07,1.9206161e-06,9.5482626e-08,,0.0006598675,4.778891e-06,4.0536014e-07,2.1461983e-05,6.284144e-06,
412,58.858135,21.343473,1.7501669,,4893,4850,,4.3795167e-06,1.062505e-06,1.5930736e-07,2.526528e-06,2.5826263e-05,,1.4343117e-05,1.04105e-05,2.8630238e-06,5.503622e-06,4.61318e-06,
413,596.718,161.57385,3.2660336,,14232,8652,,4.3795167e-06,5.415854e-07,1.05176106e-07,4.04282e-05,0.00013141577,,1.4343117e-05,3.7843404e-06,1.9163237e-05,0.0009348291,6.142496e-05,
414,0.023757845,2006.4525,0.6000777,,167,11608,,7.584291e-05,7.953271e-07,0.042626448,0.00023416475,0.00670022,,2.8184359e-05,3.218109e-05,0.002725166,0.01161169,9.936686e-05,
415,7.84193e-06,40274.613,0.7154895,,14826,4659,,0.0552642,4.4843427e-09,4.7249955e-06,5.8690064e-05,0.0888929,,1.5834543e-05,6.5007844e-06,1.2931912e-07,0.0016305307,4.387361e-05,
416,307.34894,0.0047901627,0.0065019755,,2732,225,,6.519211e-07,0.0029628454,7.849754e-07,0.0034409552,8.401103e-05,,3.3387557e-06,0.00025437967,4.7108377e-05,0.00019197994,6.362213e-06,
417,12.907527,0.556166,662.79913,,4893,1029,,7.584291e-05,1.8462028e-06,4.2643437e-06,0.00010359181,5.7503115e-08,,2.8184359e-05,5.2544947e-06,0.00014811603,2.024316e-05,1.339127e-05,
418,1.5153251e-10,1.7568545e-05,5.4104232e-05,,6114,963,,0.0064403657,0.0006242679,0.0010214061,0.0057896753,7.0065053e-06,,7.306215e-08,9.013113e-07,1.3643393e-08,7.045085e-05,2.625602e-07,
419,0.0019822204,3094453.0,413959.1,,19863,4470,,1.2741742e-06,9.183791e-09,4.9119376e-06,1.1897954e-05,1.7251035e-05,,4.1446125e-07,0.095717326,2.9932963e-08,3.5325443e-06,6.85179e-07,
420,115684.36,2.189751,0.024072202,,4893,4468,,1.133778e-06,6.384668e-06,7.157022e-05,1.7508709e-06,3.663668e-05,,0.005396945,1.0396049e-06,0.0017393503,2.3546092e-05,5.41629e-06,
421,0.08621089,23.25435,1138.4287,,4893,3422,,0.027655378,2.2580834e-06,5.4211245e-07,3.3249753e-06,1.121209e-06,,0.0021414957,1.16757865e-05,6.035509e-07,1.4953626e-05,0.00024685747,
422,0.0026731768,3.4601607,0.4008505,,4893,3686,,1.7890463e-05,1.02929325e-05,0.007402304,1.2517582e-06,4.2218486e-05,,5.0424158e-05,1.920855e-06,7.020653e-06,2.3209259e-05,9.068378e-05,
423,11.613884,2580570.0,129872220.0,,11709,16247,,0.027655378,6.0653295e-11,1.2502969e-06,3.0774215e-06,3.1635807e-07,,0.0021414957,0.00024278086,0.00018752235,1.984004e-06,1.0264436e-05,
424,454.02905,363.86774,1.5980705,,4893,1558,,7.754631e-06,7.674629e-07,3.4765503e-06,2.467137e-06,2.6085265e-05,,0.0001791376,1.9544574e-05,6.832923e-05,3.525072e-05,1.6369008e-06,
425,146.2402,12.142223,549.0003,,14232,6114,,4.3795167e-06,1.7260014e-05,7.479246e-07,9.668362e-06,3.5549408e-07,,1.4343117e-05,1.548769e-05,3.3396984e-05,0.00013082947,0.00021750008,
426,2562.1428,2239.4038,0.00010993766,,14232,279,,7.754631e-06,4.2059535e-05,5.53252e-07,8.636433e-06,0.00042177277,,0.0001791376,7.921938e-05,6.1362174e-05,0.010268331,2.4618299e-08,
427,0.7506308,3.8339581,22.580828,,4893,4657,,0.00044108194,1.3928649e-05,8.0788976e-07,1.9206161e-06,9.5482626e-08,,0.0006598675,4.778891e-06,4.0536014e-07,2.1461983e-05,6.284144e-06,
428,58.858135,21.343473,1.7501669,,4893,4850,,4.3795167e-06,1.062505e-06,1.5930736e-07,2.526528e-06,2.5826263e-05,,1.4343117e-05,1.04105e-05,2.8630238e-06,5.503622e-06,4.61318e-06,
429,596.718,161.57385,3.2660336,,14232,8652,,4.3795167e-06,5.415854e-07,1.05176106e-07,4.04282e-05,0.00013141577,,1.4343117e-05,3.7843404e-06,1.9163237e-05,0.0009348291,6.142496e-05,
430,0.023757845,2006.4525,0.6000777,,167,11608,,7.584291e-05,7.953271e-07,0.042626448,0.00023416475,0.00670022,,2.8184359e-05,3.218109e-05,0.002725166,0.01161169,9.936686e-05,
431,7.84193e-06,40274.613,0.7154895,,14826,4659,,0.0552642,4.4843427e-09,4.7249955e-06,5.8690064e-05,0.0888929,,1.5834543e-05,6.5007844e-06,1.2931912e-07,0.0016305307,4.387361e-05,
432,307.34894,0.0047901627,0.0065019755,,2732,225,,6.519211e-07,0.0029628454,7.849754e-07,0.0034409552,8.401103e-05,,3.3387557e-06,0.00025437967,4.7108377e-05,0.00019197994,6.362213e-06,
433,12.907527,0.556166,662.79913,,4893,1029,,7.584291e-05,1.8462028e-06,4.2643437e-06,0.00010359181,5.7503115e-08,,2.8184359e-05,5.2544947e-06,0.00014811603,2.024316e-05,1.339127e-05,
434,1.5153251e-10,1.7568545e-05,5.4104232e-05,,6114,963,,0.0064403657,0.0006242679,0.0010214061,0.0057896753,7.0065053e-06,,7.306215e-08,9.013113e-07,1.3643393e-08,7.045085e-05,2.625602e-07,
435,0.0019822204,3094453.0,413959.1,,19863,4470,,1.2741742e-06,9.183791e-09,4.9119376e-06,1.1897954e-05,1.7251035e-05,,4.1446125e-07,0.095717326,2.9932963e-08,3.5325443e-06,6.85179e-07,
436,115684.36,2.189751,0.024072202,,4893,4468,,1.133778e-06,6.384668e-06,7.157022e-05,1.7508709e-06,3.663668e-05,,0.005396945,1.0396049e-06,0.0017393503,2.3546092e-05,5.41629e-06,
437,0.08621089,23.25435,1138.4287,,4893,3422,,0.027655378,2.2580834e-06,5.4211245e-07,3.3249753e-06,1.121209e-06,,0.0021414957,1.16757865e-05,6.035509e-07,1.4953626e-05,0.00024685747,
438,0.0026731768,3.4601607,0.4008505,,4893,3686,,1.7890463e-05,1.02929325e-05,0.007402304,1.2517582e-06,4.2218486e-05,,5.0424158e-05,1.920855e-06,7.020653e-06,2.3209259e-05,9.068378e-05,
439,11.613884,2580570.0,129872220.0,,11709,16247,,0.027655378,6.0653295e-11,1.2502969e-06,3.0774215e-06,3.1635807e-07,,0.0021414957,0.00024278086,0.00018752235,1.984004e-06,1.0264436e-05,
440,454.02905,363.86774,1.5980705,,4893,1558,,7.754631e-06,7.674629e-07,3.4765503e-06,2.467137e-06,2.6085265e-05,,0.0001791376,1.9544574e-05,6.832923e-05,3.525072e-05,1.6369008e-06,
441,146.2402,12.142223,549.0003,,14232,6114,,4.3795167e-06,1.7260014e-05,7.479246e-07,9.668362e-06,3.5549408e-07,,1.4343117e-05,1.548769e-05,3.3396984e-05,0.00013082947,0.00021750008,
442,2562.1428,2239.4038,0.00010993766,,14232,279,,7.754631e-06,4.2059535e-05,5.53252e-07,8.636433e-06,0.00042177277,,0.0001791376,7.921938e-05,6.1362174e-05,0.010268331,2.4618299e-08,
443,0.7506308,3.8339581,22.580828,,4893,4657,,0.00044108194,1.3928649e-05,8.0788976e-07,1.9206161e-06,9.5482626e-08,,0.0006598675,4.778891e-06,4.0536014e-07,2.1461983e-05,6.284144e-06,
444,58.858135,21.343473,1.7501669,,4893,4850,,4.3795167e-06,1.062505e-06,1.5930736e-07,2.526528e-06,2.5826263e-05,,1.4343117e-05,1.04105e-05,2.8630238e-06,5.503622e-06,4.61318e-06,
445,596.718,161.57385,3.2660336,,14232,8652,,4.3795167e-06,5.415854e-07,1.05176106e-07,4.04282e-05,0.00013141577,,1.4343117e-05,3.7843404e-06,1.9163237e-05,0.0009348291,6.142496e-05,
446,0.023757845,2006.4525,0.6000777,,167,11608,,7.584291e-05,7.953271e-07,0.042626448,0.00023416475,0.00670022,,2.8184359e-05,3.218109e-05,0.002725166,0.01161169,9.936686e-05,
447,7.84193e-06,40274.613,0.7154895,,14826,4659,,0.0552642,4.4843427e-09,4.7249955e-06,5.8690064e-05,0.0888929,,1.5834543e-05,6.5007844e-06,1.2931912e-07,0.0016305307,4.387361e-05,
448,307.34894,0.0047901627,0.0065019755,,2732,225,,6.519211e-07,0.0029628454,7.849754e-07,0.0034409552,8.401103e-05,,3.3387557e-06,0.00025437967,4.7108377e-05,0.00019197994,6.362213e-06,
449,12.907527,0.556166,662.79913,,4893,1029,,7.584291e-05,1.8462028e-06,4.2643437e-06,0.00010359181,5.7503115e-08,,2.8184359e-05,5.2544947e-06,0.00014811603,2.024316e-05,1.339127e-05,
450,1.5153251e-10,1.7568545e-05,5.4104232e-05,,6114,963,,0.0064403657,0.0006242679,0.0010214061,0.0057896753,7.0065053e-06,,7.306215e-08,9.013113e-07,1.3643393e-08,7.045085e-05,2.625602e-07,
451,0.0019822204,3094453.0,413959.1,,19863,4470,,1.2741742e-06,9.183791e-09,4.9119376e-06,1.1897954e-05,1.7251035e-05,,4.1446125e-07,0.095717326,2.9932963e-08,3.5325443e-06,6.85179e-07,
452,115684.36,2.189751,0.024072202,,4893,4468,,1.133778e-06,6.384668e-06,7.157022e-05,1.7508709e-06,3.663668e-05,,0.005396945,1.0396049e-06,0.0017393503,2.3546092e-05,5.41629e-06,
453,0.08621089,23.25435,1138.4287,,4893,3422,,0.027655378,2.2580834e-06,5.4211245e-07,3.3249753e-06,1.121209e-06,,0.0021414957,1.16757865e-05,6.035509e-07,1.4953626e-05,0.00024685747,
454,0.0026731768,3.4601607,0.4008505,,4893,3686,,1.7890463e-05,1.02929325e-05,0.007402304,1.2517582e-06,4.2218486e-05,,5.0424158e-05,1.920855e-06,7.020653e-06,2.3209259e-05,9.068378e-05,
455,11.613884,2580570.0,129872220.0,,11709,16247,,0.027655378,6.0653295e-11,1.2502969e-06,3.0774215e-06,3.1635807e-07,,0.0021414957,0.00024278086,0.00018752235,1.984004e-06,1.0264436e-05,
456,454.02905,363.86774,1.5980705,,4893,1558,,7.754631e-06,7.674629e-07,3.4765503e-06,2.467137e-06,2.6085265e-05,,0.0001791376,1.9544574e-05,6.832923e-05,3.525072e-05,1.6369008e-06,
457,146.2402,12.142223,549.0003,,14232,6114,,4.3795167e-06,1.7260014e-05,7.479246e-07,9.668362e-06,3.5549408e-07,,1.4343117e-05,1.548769e-05,3.3396984e-05,0.00013082947,0.00021750008,
458,2562.1428,2239.4038,0.00010993766,,14232,279,,7.754631e-06,4.2059535e-05,5.53252e-07,8.636433e-06,0.00042177277,,0.0001791376,7.921938e-05,6.1362174e-05,0.010268331,2.4618299e-08,
459,0.7506308,3.8339581,22.580828,,4893,4657,,0.00044108194,1.3928649e-05,8.0788976e-07,1.9206161e-06,9.5482626e-08,,0.0006598675,4.778891e-06,4.0536014e-07,2.1461983e-05,6.284144e-06,
460,58.858135,21.343473,1.7501669,,4893,4850,,4.3795167e-06,1.062505e-06,1.5930736e-07,2.526528e-06,2.5826263e-05,,1.4343117e-05,1.04105e-05,2.8630238e-06,5.503622e-06,4.61318e-06,
461,596.718,161.57385,3.2660336,,14232,8652,,4.3795167e-06,5.415854e-07,1.05176106e-07,4.04282e-05,0.00013141577,,1.4343117e-05,3.7843404e-06,1.9163237e-05,0.0009348291,6.142496e-05,
462,0.023757845,2006.4525,0.6000777,,167,11608,,7.584291e-05,7.953271e-07,0.042626448,0.00023416475,0.00670022,,2.8184359e-05,3.218109e-05,0.002725166,0.01161169,9.936686e-05,
463,7.84193e-06,40274.613,0.7154895,,14826,4659,,0.0552642,4.4843427e-09,4.7249955e-06,5.8690064e-05,0.0888929,,1.5834543e-05,6.5007844e-06,1.2931912e-07,0.0016305307,4.387361e-05,
464,307.34894,0.0047901627,0.0065019755,,2732,225,,6.519211e-07,0.0029628454,7.849754e-07,0.0034409552,8.401103e-05,,3.3387557e-06,0.00025437967,4.7108377e-05,0.00019197994,6.362213e-06,
465,12.907527,0.556166,662.79913,,4893,1029,,7.584291e-05,1.8462028e-06,4.2643437e-06,0.00010359181,5.7503115e-08,,2.8184359e-05,5.2544947e-06,0.00014811603,2.024316e-05,1.339127e-05,
466,1.5153251e-10,1.7568545e-05,5.4104232e-05,,6114,963,,0.0064403657,0.0006242679,0.0010214061,0.0057896753,7.0065053e-06,,7.306215e-08,9.013113e-07,1.3643393e-08,7.045085e-05,2.625602e-07,
467,0.0019822204,3094453.0,413959.1,,19863,4470,,1.2741742e-06,9.183791e-09,4.9119376e-06,1.1897954e-05,1.7251035e-05,,4.1446125e-07,0.095717326,2.9932963e-08,3.5325443e-06,6.85179e-07,
468,115684.36,2.189751,0.024072202,,4893,4468,,1.133778e-06,6.384668e-06,7.157022e-05,1.7508709e-06,3.663668e-05,,0.005396945,1.0396049e-06,0.0017393503,2.3546092e-05,5.41629e-06,
469,0.08621089,23.25435,1138.4287,,4893,3422,,0.027655378,2.2580834e-06,5.4211245e-07,3.3249753e-06,1.121209e-06,,0.0021414957,1.16757865e-05,6.035509e-07,1.4953626e-05,0.00024685747,
470,0.0026731768,3.4601607,0.4008505,,4893,3686,,1.7890463e-05,1.02929325e-05,0.007402304,1.2517582e-06,4.2218486e-05,,5.0424158e-05,1.920855e-06,7.020653e-06,2.3209259e-05,9.068378e-05,
471,11.613884,2580570.0,129872220.0,,11709,16247,,0.027655378,6.0653295e-11,1.2502969e-06,3.0774215e-06,3.1635807e-07,,0.0021414957,0.00024278086,0.00018752235,1.984004e-06,1.0264436e-05,
472,454.02905,363.86774,1.5980705,,4893,1558,,7.754631e-06,7.674629e-07,3.4765503e-06,2.467137e-06,2.6085265e-05,,0.0001791376,1.9544574e-05,6.832923e-05,3.525072e-05,1.6369008e-06,
473,146.2402,12.142223,549.0003,,14232,6114,,4.3795167e-06,1.7260014e-05,7.479246e-07,9.668362e-06,3.5549408e-07,,1.4343117e-05,1.548769e-05,3.3396984e-05,0.00013082947,0.00021750008,
474,2562.1428,2239.4038,0.00010993766,,14232,279,,7.754631e-06,4.2059535e-05,5.53252e-07,8.636433e-06,0.00042177277,,0.0001791376,7.921938e-05,6.1362174e-05,0.010268331,2.4618299e-08,
475,0.7506308,3.8339581,22.580828,,4893,4657,,0.00044108194,1.3928649e-05,8.0788976e-07,1.9206161e-06,9.5482626e-08,,0.0006598675,4.778891e-06,4.0536014e-07,2.1461983e-05,6.284144e-06,
476,58.858135,21.343473,1.7501669,,4893,4850,,4.3795167e-06,1.062505e-06,1.5930736e-07,2.526528e-06,2.5826263e-05,,1.4343117e-05,1.04105e-05,2.8630238e-06,5.503622e-06,4.61318e-06,
477,596.718,161.57385,3.2660336,,14232,8652,,4.3795167e-06,5.415854e-07,1.05176106e-07,4.04282e-05,0.00013141577,,1.4343117e-05,3.7843404e-06,1.9163237e-05,0.0009348291,6.142496e-05,
478,0.023757845,2006.4525,0.6000777,,167,11608,,7.584291e-05,7.953271e-07,0.042626448,0.00023416475,0.00670022,,2.8184359e-05,3.218109e-05,0.002725166,0.01161169,9.936686e-05,
479,7.84193e-06,40274.613,0.7154895,,14826,4659,,0.0552642,4.4843427e-09,4.7249955e-06,5.8690064e-05,0.0888929,,1.5834543e-05,6.5007844e-06,1.2931912e-07,0.0016305307,4.387361e-05,
480,307.34894,0.0047901627,0.0065019755,,2732,225,,6.519211e-07,0.0029628454,7.849754e-07,0.0034409552,8.401103e-05,,3.3387557e-06,0.00025437967,4.7108377e-05,0.00019197994,6.362213e-06,
481,12.907527,0.556166,662.79913,,4893,1029,,7.584291e-05,1.8462028e-06,4.2643437e-06,0.00010359181,5.7503115e-08,,2.8184359e-05,5.2544947e-06,0.00014811603,2.024316e-05,1.339127e-05,
